year,week,team,temperature
2013,Week 7,Bengals,54
2013,Week 7,Lions,54
2013,Week 7,Texans,70
2013,Week 7,Chiefs,70
2013,Week 7,Bills,87
2013,Week 7,Dolphins,87
2013,Week 7,Patriots,65
2013,Week 7,Jets,65
2013,Week 7,Cowboys,62
2013,Week 7,Eagles,62
2013,Week 7,Bears,62
2013,Week 7,Washington,62
2013,Week 7,Rams,64
2013,Week 7,Panthers,64
2013,Week 7,Chargers,77
2013,Week 7,Jaguars,77
2013,Week 7,49ers,58
2013,Week 7,Titans,58
2013,Week 7,Ravens,52
2013,Week 7,Steelers,52
2013,Week 7,Browns,43
2013,Week 7,Packers,43
2013,Week 7,Broncos,52
2013,Week 7,Colts,52
2013,Week 7,Vikings,57
2013,Week 7,Giants,57
2013,Week 8,Panthers,65
2013,Week 8,Buccaneers,65
2013,Week 8,Cowboys,49
2013,Week 8,Lions,49
2013,Week 8,Browns,61
2013,Week 8,Chiefs,61
2013,Week 8,Dolphins,53
2013,Week 8,Patriots,53
2013,Week 8,Bills,72
2013,Week 8,Saints,72
2013,Week 8,Giants,58
2013,Week 8,Eagles,58
2013,Week 8,49ers,73
2013,Week 8,Jaguars,73
2013,Week 8,Steelers,59
2013,Week 8,Raiders,59
2013,Week 8,Jets,48
2013,Week 8,Bengals,48
2013,Week 8,Washington,68
2013,Week 8,Broncos,68
2013,Week 8,Falcons,88
2013,Week 8,Cardinals,88
2013,Week 8,Packers,44
2013,Week 8,Vikings,44
2013,Week 8,Seahawks,53
2013,Week 8,Rams,53
2013,Week 9,Bengals,78
2013,Week 9,Dolphins,78
2013,Week 9,Chiefs,38
2013,Week 9,Bills,38
2013,Week 9,Chargers,49
2013,Week 9,Washington,49
2013,Week 9,Falcons,62
2013,Week 9,Panthers,62
2013,Week 9,Vikings,64
2013,Week 9,Cowboys,64
2013,Week 9,Titans,58
2013,Week 9,Rams,58
2013,Week 9,Saints,53
2013,Week 9,Jets,53
2013,Week 9,Buccaneers,52
2013,Week 9,Seahawks,52
2013,Week 9,Eagles,62
2013,Week 9,Raiders,62
2013,Week 9,Steelers,42
2013,Week 9,Patriots,42
2013,Week 9,Ravens,0
2013,Week 9,Browns,0
2013,Week 9,Colts,59
2013,Week 9,Texans,59
2013,Week 9,Bears,48
2013,Week 9,Packers,48
2013,Week 10,Washington,32
2013,Week 10,Vikings,32
2013,Week 10,Seahawks,69
2013,Week 10,Falcons,69
2013,Week 10,Lions,47
2013,Week 10,Bears,47
2013,Week 10,Eagles,46
2013,Week 10,Packers,46
2013,Week 10,Jaguars,65
2013,Week 10,Titans,65
2013,Week 10,Rams,47
2013,Week 10,Colts,47
2013,Week 10,Raiders,53
2013,Week 10,Giants,53
2013,Week 10,Bills,45
2013,Week 10,Steelers,45
2013,Week 10,Bengals,62
2013,Week 10,Ravens,62
2013,Week 10,Panthers,61
2013,Week 10,49ers,61
2013,Week 10,Broncos,77
2013,Week 10,Chargers,77
2013,Week 10,Texans,82
2013,Week 10,Cardinals,82
2013,Week 10,Cowboys,65
2013,Week 10,Saints,65
2013,Week 10,Dolphins,72
2013,Week 10,Buccaneers,72
2013,Week 11,Colts,40
2013,Week 11,Titans,40
2013,Week 11,Jets,62
2013,Week 11,Bills,62
2013,Week 11,Ravens,68
2013,Week 11,Bears,68
2013,Week 11,Browns,64
2013,Week 11,Bengals,64
2013,Week 11,Falcons,79
2013,Week 11,Buccaneers,79
2013,Week 11,Cardinals,79
2013,Week 11,Jaguars,79
2013,Week 11,Raiders,85
2013,Week 11,Texans,85
2013,Week 11,Washington,67
2013,Week 11,Eagles,67
2013,Week 11,Lions,59
2013,Week 11,Steelers,59
2013,Week 11,Chargers,80
2013,Week 11,Dolphins,80
2013,Week 11,Vikings,47
2013,Week 11,Seahawks,47
2013,Week 11,49ers,81
2013,Week 11,Saints,81
2013,Week 11,Packers,61
2013,Week 11,Giants,61
2013,Week 11,Chiefs,°F
2013,Week 11,Broncos,°F
2013,Week 11,Patriots,56
2013,Week 11,Panthers,56
2013,Week 12,Saints,53
2013,Week 12,Falcons,53
2013,Week 12,Steelers,33
2013,Week 12,Browns,33
2013,Week 12,Buccaneers,23
2013,Week 12,Lions,23
2013,Week 12,Vikings,20
2013,Week 12,Packers,20
2013,Week 12,Chargers,28
2013,Week 12,Chiefs,28
2013,Week 12,Bears,28
2013,Week 12,Rams,28
2013,Week 12,Panthers,80
2013,Week 12,Dolphins,80
2013,Week 12,Jets,34
2013,Week 12,Ravens,34
2013,Week 12,Jaguars,50
2013,Week 12,Texans,50
2013,Week 12,Colts,57
2013,Week 12,Cardinals,57
2013,Week 12,Titans,59
2013,Week 12,Raiders,59
2013,Week 12,Cowboys,26
2013,Week 12,Giants,26
2013,Week 12,Broncos,23
2013,Week 12,Patriots,23
2013,Week 12,49ers,32
2013,Week 12,Washington,32
2013,Week 13,Packers,28
2013,Week 13,Lions,28
2013,Week 13,Raiders,52
2013,Week 13,Cowboys,52
2013,Week 13,Steelers,37
2013,Week 13,Ravens,37
2013,Week 13,Buccaneers,57
2013,Week 13,Panthers,57
2013,Week 13,Jaguars,44
2013,Week 13,Browns,44
2013,Week 13,Titans,51
2013,Week 13,Colts,51
2013,Week 13,Broncos,53
2013,Week 13,Chiefs,53
2013,Week 13,Bears,34
2013,Week 13,Vikings,34
2013,Week 13,Dolphins,49
